,GB_Acession,Original,Access..No,Museum,Added.to.Database,Website,Family,Genus,Species,Endemic,Locality,Latitude,Longitude,SpecName
1,NA,MJR1247,MJR1247,UADBA,8/12/24,,Accipitiridae,Accipiter,francesiae,Y,Toamasina,-15.73,49.96,Accipiter_francesiae_UADBAMJR1247_COI
2,NA,353034,353034,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1627851,Sturnidae,Acridotheres,tristis,N,Toliara,-25,47,Acridotheres_tristis_FMNH353034_COI
4,NA,352794,352794,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1627611,Psittacidae,Agapornis,canus,Y,Toliara,-24,46.52,Agapornis_canus_FMNH352794_COI
5,NA,360027,360027,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1634845,Anatidae,Anas,melleri,Y,Toamasina,-18.75,47.52,Anas_melleri_FMNH360027_COI
6,NA,434436,434436,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1709161,Apodidae,Apus,barbatus,,Toliara,-24.05,43.75,Apus_barbatus_FMNH434436_COI
7,NA,FMNH384778,384778,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659630,Vangidae,Artamella,viridis,Y,Toliara,-24.58,46.73,Artamella_viridis_FMNH384778_COI
8,NA,DW4940,393205,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668054,Brachypteraciidae,Atelornis,crossleyi,Y,Mahajanga,-14.75,49.42,Atelornis_crossleyi_FMNH393205_COI
9,NA,TPG1570,393202,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668051,Brachypteraciidae,Atelornis,pittoides,Y,Fianarantsoa,-22.15,47.02,Atelornis_pittoides_FMNH393202_COI
11,NA,360032,360032,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1634850,Anatidae,Aythya,innotata,Y,Toamasina,-17.5,48.5,Aythya_innotata_FMNH360032_COI
12,NA,FMNH393255,393255,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668104,Bernieridae,Bernieria,madagascariensis,Y,Antsiranana,-14.54,49.43,Bernieria_madagascariensis_FMNH393255_COI
14,NA,SMG7403,384758,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659610,Brachypteraciidae,Geobiastes,squamiger,Y,Toliara,-24.62,46.75,Geobiastes_squamiger_FMNH384758_COI
17,NA,FMNH356654,356654,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1631472,Vangidae,Calicalicus,madagascariensis,Y,Toliara,-23,43.62,Calicalicus_madagascariensis_FMNH356654_COI
18,NA,MJR1206,MJR1206,UADBA,8/12/24,,Caprimulgidae,Caprimulgus,enarratus,Y,Antsiranana,-15.56,50.28,Caprimulgus_enarratus_UADBAMJR1206_COI
19,NA,SMG10949,396236,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1671085,Caprimulgidae,Caprimulgus,madagascariensis,N - SEYCHELLES,Fianarantsoa,-22.54,45.38,Caprimulgus_madagascariensis_FMNH396236_COI
20,NA,427335,427335,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1702061,Campephagidae,Ceblepyris,cinerea,N - MAYOTTE,Fianarantsoa,-22.2,46.83,Ceblepyris_cinerea_FMNH427335_COI
21,NA,FMNH436424,436424,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1711149,Cuculidae,Centropus,toulou,N - SEYCHELLES,Toliara,-22.77,43.52,Centropus_toulou_FMNH436424_COI
22,NA,DW4911,393444,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668293,Nectariniidae,Cinnyris,notata,N - COMOROS,Mahajanga,-14.75,49.42,Cinnyris_notata_FMNH393444_COI
23,NA,DW4790,393425,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668274,Nectariniidae,Cinnyris,souimanga,N - WEST INDIAN ISLANDS,Antsiranana,-14.54,49.44,Cinnyris_souimanga_FMNH393425_COI
24,NA,352929,352929,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1627746,Cisticolidae,Cisticola,cherina,N - WEST INDIAN ISLANDS,Toliara,-24,46.52,Cisticola_cherina_FMNH352929_COI
