"","GB_Acession","Original","Access..No","Museum","Added.to.Database","Website","Family","Genus","Species","Endemic","Locality","Latitude","Longitude","SpecName"
"1",NA,"MJR1247","MJR1247","UADBA","8/12/24","","Accipitiridae","Accipiter","francesiae","Y","Toamasina",-15.73,49.96,"Accipiter_francesiae_UADBAMJR1247_CYTB"
"2",NA,"353034","353034","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1627851","Sturnidae","Acridotheres","tristis","N","Toliara",-25,47,"Acridotheres_tristis_FMNH353034_CYTB"
"3",NA,"FMNH380001","380001","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1654843","Acrocephalidae","Acrocephalus","newtoni","Y","Fianarantsoa",-22.19,46.97,"Acrocephalus_newtoni_FMNH380001_CYTB"
"5",NA,"360027","360027","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1634845","Anatidae","Anas","melleri","Y","Toamasina",-18.75,47.52,"Anas_melleri_FMNH360027_CYTB"
"6",NA,"434436","434436","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1709161","Apodidae","Apus","barbatus","","Toliara",-24.05,43.75,"Apus_barbatus_FMNH434436_CYTB"
"7",NA,"FMNH384778","384778","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1659630","Vangidae","Artamella","viridis","Y","Toliara",-24.58,46.73,"Artamella_viridis_FMNH384778_CYTB"
"8",NA,"DW4940","393205","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1668054","Brachypteraciidae","Atelornis","crossleyi","Y","Mahajanga",-14.75,49.42,"Atelornis_crossleyi_FMNH393205_CYTB"
"9",NA,"TPG1570","393202","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1668051","Brachypteraciidae","Atelornis","pittoides","Y","Fianarantsoa",-22.15,47.02,"Atelornis_pittoides_FMNH393202_CYTB"
"10",NA,"FMNH384685","384685","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1659537","Strigidae","Athene","superciliaris","Y","Toliara",-22.68,44.82,"Athene_superciliaris_FMNH384685_CYTB"
"11",NA,"360032","360032","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1634850","Anatidae","Aythya","innotata","Y","Toamasina",-17.5,48.5,"Aythya_innotata_FMNH360032_CYTB"
"12",NA,"FMNH393255","393255","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1668104","Bernieridae","Bernieria","madagascariensis","Y","Antsiranana",-14.54,49.43,"Bernieria_madagascariensis_FMNH393255_CYTB"
"13",NA,"SMG8367","384731","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1659583","Brachypteraciidae","Brachypteracias","leptosomus","Y","Antsiranana",-14.43,49.73,"Brachypteracias_leptosomus_FMNH384731_CYTB"
"14",NA,"SMG7403","384758","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1659610","Brachypteraciidae","Geobiastes","squamiger","Y","Toliara",-24.62,46.75,"Geobiastes_squamiger_FMNH384758_CYTB"
"16",NA,"434743","434743","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1709468","Ardeidae","Butorides","striata","","Tamatave",41.85,-87.62,"Butorides_striata_FMNH434743_CYTB"
"18",NA,"MJR1206","MJR1206","UADBA","8/12/24","","Caprimulgidae","Caprimulgus","enarratus","Y","Antsiranana",-15.56,50.28,"Caprimulgus_enarratus_UADBAMJR1206_CYTB"
"20",NA,"427335","427335","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1702061","Campephagidae","Ceblepyris","cinerea","N - MAYOTTE","Fianarantsoa",-22.2,46.83,"Ceblepyris_cinerea_FMNH427335_CYTB"
"21",NA,"FMNH436424","436424","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1711149","Cuculidae","Centropus","toulou","N - SEYCHELLES","Toliara",-22.77,43.52,"Centropus_toulou_FMNH436424_CYTB"
"22",NA,"DW4911","393444","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1668293","Nectariniidae","Cinnyris","notata","N - COMOROS","Mahajanga",-14.75,49.42,"Cinnyris_notata_FMNH393444_CYTB"
"23",NA,"DW4790","393425","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1668274","Nectariniidae","Cinnyris","souimanga","N - WEST INDIAN ISLANDS","Antsiranana",-14.54,49.44,"Cinnyris_souimanga_FMNH393425_CYTB"
"24",NA,"352929","352929","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1627746","Cisticolidae","Cisticola","cherina","N - WEST INDIAN ISLANDS","Toliara",-24,46.52,"Cisticola_cherina_FMNH352929_CYTB"
"25",NA,"360050","360050","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1634868","Muscicapidae","Copsychus","albospecularis","Y","Toliara",-22,44.72,"Copsychus_albospecularis_FMNH360050_CYTB"
"26",NA,"384671","384671","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1659523","Psittacidae","Coracopsis","vasa","Y","Toliara",-22.45,44.83,"Coracopsis_vasa_FMNH384671_CYTB"
"29",NA,"FMNH472533","472533","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1814703","Cuculidae","Coua","caerulea","Y","Farafangana",-23.08,47.75,"Coua_caerulea_FMNH472533_CYTB"
"30",NA,"FMNH434632","434632","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1709357","Cuculidae","Coua","coquereli","Y","Mahajanga",-16.22,46.93,"Coua_coquereli_FMNH434632_CYTB"
"31",NA,"FMNH472479","472479","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1814649","Cuculidae","Coua","cristata","Y","Mahajanga",-16.14,46.96,"Coua_cristata_FMNH472479_CYTB"
"32",NA,"MJR1143","MJR1143","UADBA","8/12/24","","Cuculidae","Coua","cursor","Y","Toliara",43.74,24.03,"Coua_cursor_UADBAMJR1143_CYTB"
"33",NA,"FMNH393209","393209","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1668058","Cuculidae","Coua","gigas","Y","Mahajanga",-18.26,45.42,"Coua_gigas_FMNH393209_CYTB"
"34",NA,"FMNH434432","434432","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1709157","Cuculidae","Coua","olivaceiceps","Y","Toliara",-24.05,43.75,"Coua_olivaceiceps_FMNH434432_CYTB"
"35",NA,"MJR0893","MJR0893","UADBA","8/12/24","","Cuculidae","Coua","reynaudii","Y","",-19.04,48.35,"Coua_reynaudii_UADBAMJR0893_CYTB"
"37",NA,"FMNH472476","472476","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1814646","Cuculidae","Coua","verreauxi","Y","Toliara",-24.25,44.08,"Coua_verreauxi_FMNH472476_CYTB"
"38",NA,"FMNH435043","435043","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1709768","Bernieridae","Crossleyia","xanthophrys","Y","Fianarantsoa",-22.16,47.04,"Crossleyia_xanthophrys_FMNH435043_CYTB"
"39",NA,"FMNH396198","396198","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1671047","Bernieridae","Cryptosylvicola","randrianasoloi","Y","Antsiranana",-14.02,48.42,"Cryptosylvicola_randrianasoloi_FMNH396198_CYTB"
"40",NA,"436423","436423","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1711148","Cuculidae","Cuculus","poliocephalus","","Toliara",-22.8,43.43,"Cuculus_poliocephalus_FMNH436423_CYTB"
"41",NA,"MJR0510","MJR0510","UADBA","8/12/24","","Vangidae","Cyanolanius","madagascariensis","Y","",-19.61,44.74,"Cyanolanius_madagascariensis_UADBAMJR0510_CYTB"
"42",NA,"MJR1262","MJR1262","UADBA","8/12/24","","Dicruridae","Dicrurus","forficatus","N - COMOROS","",-18.25,47.57,"Dicrurus_forficatus_UADBAMJR1262_CYTB"
"44",NA,"396138","396138","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1670987","Alaudidae","Eremopterix","hova","Y","Fianarantsoa",NA,NA,"Eremopterix_hova_FMNH396138_CYTB"
"45",NA,"FMNH356691","356691","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1631509","Vangidae","Euryceros","prevostii","Y","Toamasina",-15,49.93,"Euryceros_prevostii_FMNH356691_CYTB"
"46",NA,"SMG7929","384689","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1659541","Coraciidae","Eurystomus","glaucurus","","Toliara",-22.45,44.83,"Eurystomus_glaucurus_FMNH384689_CYTB"
"47",NA,"FMNH356670","356670","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1631488","Vangidae","Falculea","palliata","Y","Toliara",-23,43.62,"Falculea_palliata_FMNH356670_CYTB"
"48",NA,"MJR1012","MJR1012","UADBA","8/12/24","","Ploceidae","Foudia","madagascariensis","Y","",-20.7,47.15,"Foudia_madagascariensis_UADBAMJR1012_CYTB"
"49",NA,"MJR0278","MJR0278","UADBA","8/12/24","","Ploceidae","Foudia","omissa","Y","",-16.28,48.8,"Foudia_omissa_UADBAMJR0278_CYTB"
"50",NA,"MJR0590","MJR0590","UADBA","8/12/24","","Bernieridae","Hartertula","flavoviridis","Y","",-23.74,47.02,"Hartertula_flavoviridis_UADBAMJR0590_CYTB"
"51",NA,"384699","384699","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1659551","Sturnidae","Hartlaubius","auratus","Y","Toliara",-22.68,44.82,"Hartlaubius_auratus_FMNH384699_CYTB"
"52",NA,"FMNH363833","363833","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1638648","Vangidae","Hypositta","corallirostris","Y","Fianarantsoa",-22,47.02,"Hypositta_corallirostris_FMNH363833_CYTB"
"53",NA,"MJR1261","MJR1261","UADBA","8/12/24","","Pycnonotidae","Hypsipetes","madagascariensis","N - WEST INDIAN ISLANDS","Toamasina",15.73,49.96,"Hypsipetes_madagascariensis_UADBAMJR1261_CYTB"
"54",NA,"352980","352980","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1627797","Estrildidae","Lepidopygia","nana","Y","Toliara",-25,47,"Lepidopygia_nana_FMNH352980_CYTB"
"56",NA,"352778","352778","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1627595","Scolopacidae","Limosa","lapponica","","Toliara",NA,NA,"Limosa_lapponica_FMNH352778_CYTB"
"57",NA,"345600","345600","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1598920","Threskiornithidae","Lophotibis","cristata","Y","Toliara",-24,47.02,"Lophotibis_cristata_FMNH345600_CYTB"
"58",NA,"431145","431145","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1705874","Rallidae","Mentocrex","beankaensis","Y","Toliara",NA,NA,"Mentocrex_beankaensis_FMNH431145_CYTB"
"60",NA,"431139","431139","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1705868","Accipitiridae","Milvus","migrans","","Toliara",NA,NA,"Milvus_migrans_FMNH431139_CYTB"
"63",NA,"431196","431196","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1705925","Motacillidae","Motacilla","flaviventris","Y","Toliara",-19.14,44.82,"Motacilla_flaviventris_FMNH431196_CYTB"
"64",NA,"31203","MJR0610","UADBA","8/12/24","","Vangidae","Mystacornis","crossleyi","Y","",-23.74,47.02,"Mystacornis_crossleyi_UADBAMJR0610_CYTB"
"65",NA,"DW4798","393232","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1668081","Philepittidae","Neodrepanis","coruscans","Y","Antsiranana",-14.54,49.44,"Neodrepanis_coruscans_FMNH393232_CYTB"
"66",NA,"MJR12","MJR12","UADBA","8/12/24","","Philepittidae","Neodrepanis","hypoxantha","Y","",-14.75,49.42,"Neodrepanis_hypoxantha_UADBAMJR12_CYTB"
"67",NA,"FMNH435456","436456","FMNH","8/12/24","","Cisticolidae","Neomixis","striatigula","Y","",-22.77,43.52,"Neomixis_striatigula_FMNH436456_CYTB"
"68",NA,"FMNH396128","396128","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1670977","Cisticolidae","Neomixis","tenella","Y","Fianarantsoa",-22.54,45.38,"Neomixis_tenella_FMNH396128_CYTB"
"69",NA,"FMNH393344","393344","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1668193","Cisticolidae","Neomixis","viridis","Y","Fianarantsoa",-22.16,47.04,"Neomixis_viridis_FMNH393344_CYTB"
"70",NA,"TPG1583","393401","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1668250","Acrocephalidae","Nesillas","typica","Y","Fianarantsoa",-22.15,47.02,"Nesillas_typica_FMNH393401_CYTB"
"71",NA,"FMNH363856","363856","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1638671","Vangidae","Newtonia","amphichroa","Y","Fianarantsoa",-22,47.02,"Newtonia_amphichroa_FMNH363856_CYTB"
"72",NA,"FMNH436447","436447","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1711172","Vangidae","Newtonia","archboldi","Y","Toliara",-22.8,43.43,"Newtonia_archboldi_FMNH436447_CYTB"
"73",NA,"FMNH436437","436437","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1711162","Vangidae","Newtonia","brunneicauda","Y","Toliara",-22.77,43.52,"Newtonia_brunneicauda_FMNH436437_CYTB"
"74",NA,"384667","384667","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1659519","Numididae","Numida","meleagris","","Toliara",-22.68,44.82,"Numida_meleagris_FMNH384667_CYTB"
"75",NA,"396238","396238","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1671087","Columbidae","Oena","capensis","N - SUBSPECIES ENDEMIC","Fianarantsoa",-22.54,45.38,"Oena_capensis_FMNH396238_CYTB"
"76",NA,"FMNH356684","356684","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1631502","Vangidae","Oriolia","bernieri","Y","Toamasina",-15,49.93,"Oriolia_bernieri_FMNH356684_CYTB"
"77",NA,"MJR1217","MJR1217","UADBA","8/12/24","","Strigidae","Otus","rutilus","Y","",-15.56,50.28,"Otus_rutilus_UADBAMJR1217_CYTB"
"78",NA,"FMNH396172","396172","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1671021","Bernieridae","Oxylabes","madagascariensis","Y","Antsiranana",-14,48.43,"Oxylabes_madagascariensis_FMNH396172_CYTB"
"79",NA,"436517","436517","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1711241","Hirundinidae","Phedina","borbonica","N - WEST INDIAN ISLANDS","Mahajanga",-16.43,45.4,"Phedina_borbonica_FMNH436517_CYTB"
"80",NA,"MJR1233","MJR1233","UADBA","8/12/24","","Philepittidae","Philepitta","castanea","Y","",-15.56,50.28,"Philepitta_castanea_UADBAMJR1233_CYTB"
"81",NA,"DW5317","431191","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1705920","Philepittidae","Philepitta","schlegeli","Y","Toliara",-19.13,44.8,"Philepitta_schlegeli_FMNH431191_CYTB"
"82",NA,"SMG10756","396113","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1670962","Ploceidae","Ploceus","nelicourvi","Y","Antsiranana",-14,48.43,"Ploceus_nelicourvi_FMNH396113_CYTB"
"83",NA,"SMG4123","352987","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1627804","Ploceidae","Ploceus","sakalava","Y","Toliara",-24,46.52,"Ploceus_sakalava_FMNH352987_CYTB"
"84",NA,"FMNH356702","356702","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1631520","Vangidae","Pseudobias","wardi","Y","Toamasina",-18.93,48.42,"Pseudobias_wardi_FMNH356702_CYTB"
"85",NA,"487452","487452","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/2386917","Pteroclidae","Pterocles","personatus","Y","Mahajanga",-14.75,48.1,"Pterocles_personatus_FMNH487452_CYTB"
"86",NA,"FMNH479641","479641","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/2146933","Bernieridae","Randia","pseudozosterops","Y","Fianarantsoa",-21.24,47.4,"Randia_pseudozosterops_FMNH479641_CYTB"
"87",NA,"384801","384801","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1659653","Hirundinidae","Riparia","paludicola","","Fianarantsoa",-22.18,46.9,"Riparia_paludicola_FMNH384801_CYTB"
