,GB_Acession,Original,Access..No,Museum,Added.to.Database,Website,Family,Genus,Species,Endemic,Locality,Latitude,Longitude,SpecName
1,NA,MJR1247,MJR1247,UADBA,8/12/24,,Accipitiridae,Accipiter,francesiae,Y,Toamasina,-15.73,49.96,Accipiter_francesiae_UADBAMJR1247_ND3
2,NA,353034,353034,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1627851,Sturnidae,Acridotheres,tristis,N,Toliara,-25,47,Acridotheres_tristis_FMNH353034_ND3
3,NA,FMNH380001,380001,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1654843,Acrocephalidae,Acrocephalus,newtoni,Y,Fianarantsoa,-22.19,46.97,Acrocephalus_newtoni_FMNH380001_ND3
4,NA,352794,352794,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1627611,Psittacidae,Agapornis,canus,Y,Toliara,-24,46.52,Agapornis_canus_FMNH352794_ND3
7,NA,FMNH384778,384778,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659630,Vangidae,Artamella,viridis,Y,Toliara,-24.58,46.73,Artamella_viridis_FMNH384778_ND3
8,NA,DW4940,393205,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668054,Brachypteraciidae,Atelornis,crossleyi,Y,Mahajanga,-14.75,49.42,Atelornis_crossleyi_FMNH393205_ND3
9,NA,TPG1570,393202,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668051,Brachypteraciidae,Atelornis,pittoides,Y,Fianarantsoa,-22.15,47.02,Atelornis_pittoides_FMNH393202_ND3
10,NA,FMNH384685,384685,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659537,Strigidae,Athene,superciliaris,Y,Toliara,-22.68,44.82,Athene_superciliaris_FMNH384685_ND3
12,NA,FMNH393255,393255,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668104,Bernieridae,Bernieria,madagascariensis,Y,Antsiranana,-14.54,49.43,Bernieria_madagascariensis_FMNH393255_ND3
13,NA,SMG8367,384731,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659583,Brachypteraciidae,Brachypteracias,leptosomus,Y,Antsiranana,-14.43,49.73,Brachypteracias_leptosomus_FMNH384731_ND3
